,MSZoning,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,Heating,HeatingQC,CentralAir,Electrical,KitchenQual,Functional,FireplaceQu,GarageType,GarageFinish,GarageQual,GarageCond,PavedDrive,PoolQC,Fence,MiscFeature,SaleType,SaleCondition,MSSubClass,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,MoSold,YrSold,SalePrice
328,RL,Pave,Pave,IR1,Bnk,AllPub,Inside,Gtl,BrkSide,PosN,Norm,1Fam,2.5Unf,Gable,CompShg,Wd Sdng,Wd Shng,BrkFace,TA,TA,BrkTil,TA,TA,No,Unf,Unf,GasA,Gd,N,FuseA,Gd,Typ,Gd,Detchd,Unf,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,75,70.04995836802665,11888,6,6,1916,1994,0.0,0,844,844,1445,689,2134,0,0,2,0,5,10,0,1930.0,2,441,0,60,268,7,2009,214500
329,RM,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,IDOTRR,Norm,Norm,1Fam,2Story,Gable,CompShg,Wd Sdng,Wd Shng,BrkFace,TA,TA,PConc,TA,TA,Mn,Unf,Unf,GasA,TA,N,SBrkr,TA,Typ,Gd,Detchd,Unf,Fa,Fa,N,Gd,GdWo,Shed,WD,Normal,70,60.0,6402,5,5,1920,1950,0.0,0,596,596,596,596,1192,0,0,1,0,3,6,0,1920.0,1,189,0,0,137,7,2009,78000
330,RL,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,Duplex,1Story,Gable,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,CBlock,TA,TA,No,GLQ,Rec,GasA,TA,Y,SBrkr,TA,Typ,Gd,Detchd,Unf,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,90,70.04995836802665,10624,5,4,1964,1964,84.0,40,1424,1728,1728,0,1728,0,1,2,0,6,10,0,2002.0,1,352,155,0,0,11,2007,119000
331,RL,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,TA,TA,No,Rec,Unf,GasA,Fa,Y,SBrkr,TA,Typ,Gd,Attchd,RFn,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,20,70.0,8176,5,6,1958,1992,0.0,846,210,1056,1056,0,1056,1,0,1,0,3,6,0,1958.0,1,308,0,0,0,8,2007,139000
332,RL,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,RFn,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,20,85.0,10655,8,5,2003,2004,296.0,1124,1603,3206,1629,0,1629,1,0,2,0,3,7,1,2003.0,3,880,0,0,0,10,2009,284000
333,RM,Pave,Grvl,Reg,Lvl,AllPub,FR3,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,RFn,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,120,59.0,8198,7,5,2004,2004,146.0,720,638,1358,1358,0,1358,1,0,2,0,2,6,1,2004.0,2,484,192,30,0,7,2008,207000
334,RL,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,TA,TA,PConc,Gd,TA,Gd,GLQ,Unf,GasA,Gd,Y,SBrkr,TA,Typ,TA,Attchd,Fin,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,60,59.0,9042,6,5,1998,1998,0.0,828,115,943,943,695,1638,1,0,2,1,3,7,2,1998.0,2,472,100,38,0,7,2008,192000
335,RL,Grvl,Grvl,IR1,HLS,AllPub,Corner,Sev,Timber,Norm,Norm,2fmCon,1.5Fin,Gable,CompShg,Plywood,Plywood,BrkFace,TA,TA,CBlock,TA,TA,Gd,ALQ,BLQ,GasA,Ex,Y,SBrkr,TA,Typ,Gd,Attchd,Fin,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,190,70.04995836802665,164660,5,6,1965,1965,0.0,1249,103,1499,1619,167,1786,2,0,2,0,3,7,2,1965.0,2,529,670,0,0,8,2008,228950
336,RL,Pave,Grvl,IR1,HLS,AllPub,Corner,Gtl,StoneBr,Norm,Norm,1Fam,1Story,Hip,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Ex,TA,Gd,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,Fin,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,20,86.0,14157,9,5,2005,2006,200.0,1249,673,1922,1922,0,1922,1,0,2,0,3,8,1,2005.0,3,676,178,51,0,7,2007,377426
337,RL,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,RFn,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,20,70.0,9135,7,5,2002,2003,113.0,810,726,1536,1536,0,1536,1,0,2,0,3,7,0,2002.0,2,532,192,74,0,12,2008,214000
338,RL,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,NWAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,Gd,TA,CBlock,Gd,TA,Mn,ALQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,RFn,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,20,91.0,14145,7,7,1984,1998,0.0,213,995,1208,1621,0,1621,1,0,2,0,3,8,0,1984.0,2,440,108,45,0,5,2006,202500
339,RL,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Feedr,Norm,1Fam,1Story,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,TA,Fa,No,Rec,Unf,GasA,TA,Y,FuseA,TA,Typ,Gd,Attchd,Unf,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,20,66.0,12400,6,7,1958,1998,176.0,585,630,1215,1215,0,1215,0,0,1,0,3,6,0,1958.0,1,297,0,0,0,6,2009,155000
340,RL,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,Fin,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,60,85.0,14191,8,5,2002,2002,0.0,0,967,967,993,915,1908,0,0,2,1,4,9,0,2002.0,2,431,135,0,0,4,2010,202900
341,RH,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Feedr,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,AsbShng,BrkFace,Fa,Fa,CBlock,TA,Fa,No,Unf,Unf,GasA,Gd,Y,SBrkr,TA,Typ,Gd,CarPort,Unf,TA,TA,N,Gd,MnPrv,Shed,WD,Normal,20,60.0,8400,4,4,1950,1950,0.0,0,721,721,841,0,841,0,0,1,0,2,4,0,1950.0,1,294,250,0,24,9,2009,82000
342,RL,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,Duplex,1Story,Gable,CompShg,Stucco,Stucco,BrkFace,TA,TA,Slab,TA,TA,No,Unf,Unf,Wall,Fa,N,FuseA,TA,Typ,Gd,Detchd,Unf,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,90,70.04995836802665,8544,3,4,1949,1950,340.0,0,0,0,1040,0,1040,0,0,2,0,2,6,0,1949.0,2,400,0,0,0,5,2006,87500
343,RL,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,Hip,CompShg,MetalSd,MetalSd,BrkFace,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Ex,Typ,Ex,Attchd,RFn,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,120,63.0,8849,9,5,2005,2005,616.0,28,1656,1684,1684,0,1684,0,0,2,0,2,6,1,2005.0,2,564,495,72,0,7,2008,266000
344,RM,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,2Story,Gable,CompShg,CemntBd,CmentBd,BrkFace,TA,TA,CBlock,Gd,TA,No,Rec,BLQ,GasA,TA,Y,SBrkr,TA,Typ,Gd,Attchd,Unf,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,160,36.0,2592,5,3,1976,1976,0.0,129,175,536,536,576,1112,0,0,1,1,3,4,0,1976.0,1,336,182,0,0,4,2010,85000
345,RL,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,RRAn,Norm,1Fam,1.5Fin,Gable,CompShg,MetalSd,MetalSd,BrkFace,TA,TA,BrkTil,TA,TA,No,Unf,Unf,GasA,Gd,Y,SBrkr,Fa,Typ,Gd,Detchd,Unf,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,50,65.0,6435,6,5,1939,1950,0.0,0,972,972,972,605,1577,0,0,1,0,3,6,1,1939.0,1,312,0,0,0,10,2006,140200
346,RL,Pave,Grvl,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,MetalSd,MetalSd,BrkFace,TA,Gd,CBlock,TA,TA,Mn,BLQ,Unf,GasA,TA,Y,SBrkr,TA,Typ,Gd,Attchd,RFn,TA,TA,Y,Gd,MnPrv,Gar2,WD,Normal,20,70.04995836802665,12772,6,8,1960,1998,0.0,498,460,958,958,0,958,0,0,1,0,2,5,0,1960.0,1,301,0,0,0,4,2007,151500
347,RL,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,TA,TA,No,BLQ,Unf,GasA,Ex,Y,FuseA,TA,Typ,Gd,Attchd,Unf,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,20,70.04995836802665,17600,6,5,1960,1960,30.0,1270,208,1478,1478,0,1478,1,0,2,0,3,6,2,1960.0,2,498,0,40,0,12,2009,157500
348,RL,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,Twnhs,2Story,Gable,CompShg,VinylSd,Wd Shng,Stone,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,BuiltIn,RFn,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,160,36.0,2448,7,5,2003,2004,106.0,573,191,764,764,862,1626,1,0,2,1,2,6,0,2003.0,2,474,0,27,0,10,2008,154000
349,RL,Pave,Grvl,IR2,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,Hip,CompShg,CemntBd,CmentBd,BrkFace,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Ex,Typ,Ex,Attchd,Fin,TA,TA,Y,Gd,MnPrv,Shed,New,Partial,60,56.0,20431,9,5,2005,2006,870.0,1410,438,1848,1848,880,2728,1,0,2,1,4,10,2,2006.0,3,706,0,0,0,4,2006,437154
350,RL,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,Hip,CompShg,MetalSd,MetalSd,BrkFace,Ex,TA,PConc,Ex,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,Ex,Typ,Gd,Attchd,RFn,TA,TA,Y,Gd,MnPrv,Shed,New,Partial,120,68.0,7820,9,5,2007,2007,362.0,0,1869,1869,1869,0,1869,0,0,2,0,2,6,1,2007.0,2,617,210,54,0,12,2007,318061
351,RL,Pave,Grvl,IR1,Low,AllPub,Inside,Mod,ClearCr,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,TA,TA,PConc,Gd,TA,Gd,GLQ,Unf,GasA,Gd,Y,SBrkr,Gd,Typ,TA,Attchd,RFn,TA,TA,Y,Gd,MnPrv,Shed,WD,Abnorml,120,70.04995836802665,5271,7,5,1986,1986,0.0,1082,371,1453,1453,0,1453,1,0,1,1,2,6,1,1986.0,2,445,0,80,0,12,2006,190000
352,RL,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Artery,Norm,1Fam,1.5Fin,Gable,CompShg,VinylSd,VinylSd,BrkFace,TA,TA,CBlock,TA,Fa,Mn,LwQ,Rec,GasA,TA,N,SBrkr,TA,Typ,Gd,Detchd,Unf,TA,Fa,Y,Gd,MnPrv,Shed,ConLw,Normal,50,60.0,9084,5,6,1941,1950,0.0,236,0,616,616,495,1111,0,1,1,0,3,5,0,1941.0,1,200,48,0,0,3,2008,95000
353,RM,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,TA,Gd,BrkTil,TA,TA,No,Unf,Unf,GasA,Gd,Y,SBrkr,TA,Typ,Gd,Detchd,Unf,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,30,60.0,8520,6,8,1928,2003,0.0,0,624,624,720,0,720,0,0,1,0,2,5,0,2005.0,2,484,106,0,0,5,2010,105900
354,RL,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,Wd Sdng,MetalSd,BrkFace,TA,TA,CBlock,TA,TA,No,LwQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,Gd,Attchd,Unf,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,50,60.0,8400,6,5,1940,2000,0.0,388,552,940,1192,403,1595,0,0,1,0,2,6,2,1940.0,1,240,0,0,108,6,2006,140000
355,RL,Pave,Grvl,IR2,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,Gd,PConc,Gd,Gd,No,ALQ,BLQ,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,RFn,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,20,105.0,11249,6,5,1995,1995,0.0,334,322,1200,1200,0,1200,1,0,2,0,3,6,0,1995.0,2,521,0,26,0,8,2007,177500
356,RL,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Gd,Y,SBrkr,Gd,Typ,Gd,Attchd,RFn,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,20,70.04995836802665,9248,6,6,1992,1992,106.0,560,598,1158,1167,0,1167,1,0,2,0,3,6,0,1992.0,2,400,120,26,0,7,2009,173000
357,RM,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,Gable,CompShg,CemntBd,CmentBd,BrkFace,TA,TA,PConc,Gd,TA,No,ALQ,Unf,GasA,TA,Y,SBrkr,TA,Typ,Po,Attchd,Fin,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,120,44.0,4224,5,5,1976,1976,0.0,874,268,1142,1142,0,1142,1,0,1,1,3,6,1,1976.0,2,528,536,90,0,8,2007,134000
358,RL,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,ClearCr,Norm,Norm,1Fam,SLvl,Hip,CompShg,Wd Sdng,ImStucc,BrkFace,TA,TA,CBlock,TA,TA,Av,BLQ,Rec,GasA,Ex,Y,FuseF,Gd,Min2,Gd,BuiltIn,Unf,TA,TA,Y,Gd,MnPrv,Shed,WD,Abnorml,80,92.0,6930,5,4,1958,1958,120.0,300,468,1062,1352,0,1352,0,1,1,0,3,6,0,1958.0,1,288,168,0,294,7,2006,130000
359,RL,Pave,Grvl,IR1,Lvl,AllPub,CulDSac,Gtl,NoRidge,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,TA,Attchd,RFn,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,60,78.0,12011,8,5,1998,1998,530.0,956,130,1086,1086,838,1924,1,0,2,1,3,7,1,1998.0,2,592,208,75,0,6,2006,280000
360,RL,Pave,Grvl,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,SFoyer,Gable,CompShg,VinylSd,VinylSd,BrkFace,TA,TA,CBlock,Gd,TA,Av,GLQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,TA,Attchd,RFn,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,85,70.04995836802665,7540,6,6,1978,1978,0.0,773,115,888,912,0,912,1,0,1,0,2,5,1,1978.0,2,470,0,0,0,6,2007,156000
361,RL,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,MetalSd,MetalSd,BrkFace,TA,TA,CBlock,TA,TA,No,Rec,Unf,GasA,Gd,Y,SBrkr,TA,Typ,Gd,Detchd,Unf,TA,TA,N,Gd,MnPrv,Shed,WD,Normal,50,70.04995836802665,9144,5,5,1940,1982,0.0,399,484,883,988,517,1505,1,0,1,0,3,8,0,1940.0,1,240,0,0,0,7,2008,145000
362,RL,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,SFoyer,Gable,CompShg,HdBoard,HdBoard,BrkFace,Gd,TA,Slab,TA,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Ex,BuiltIn,RFn,TA,TA,Y,Gd,MnPrv,Shed,ConLD,Normal,85,64.0,7301,7,5,2003,2003,500.0,0,0,0,495,1427,1922,0,0,3,0,4,7,1,2003.0,2,672,0,0,177,7,2009,198500
363,RM,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,Gable,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,CBlock,TA,TA,No,ALQ,Unf,GasA,Gd,Y,SBrkr,Gd,Typ,Gd,Detchd,Unf,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,160,21.0,1680,6,8,1972,2007,510.0,162,321,483,483,504,987,0,0,1,1,2,5,0,1972.0,1,264,250,0,0,5,2009,118000
364,RL,Pave,Grvl,IR1,Lvl,AllPub,FR2,Gtl,NWAmes,Norm,Norm,1Fam,2Story,Gable,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,PConc,Gd,TA,Mn,GLQ,Unf,GasA,TA,Y,SBrkr,TA,Typ,TA,Attchd,Fin,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,60,70.04995836802665,18800,6,5,1976,1976,120.0,712,84,796,790,784,1574,1,0,2,1,3,6,1,1976.0,2,566,306,111,0,7,2006,190000
365,RM,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,2Story,Hip,CompShg,VinylSd,VinylSd,BrkFace,TA,Gd,CBlock,TA,Fa,No,Rec,Unf,GasA,Gd,Y,FuseA,TA,Typ,Gd,Detchd,Unf,TA,Fa,Y,Gd,MnPrv,Shed,WD,Normal,70,59.0,10690,5,7,1920,1997,0.0,456,216,672,672,672,1344,0,0,1,0,3,6,0,1964.0,1,468,0,128,218,7,2009,147000
366,RL,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,Plywood,Plywood,BrkFace,TA,TA,CBlock,Gd,TA,No,BLQ,Unf,GasA,Gd,Y,SBrkr,TA,Typ,Gd,Attchd,RFn,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,20,70.04995836802665,9500,6,5,1963,1963,247.0,609,785,1394,1394,0,1394,1,0,1,1,3,6,2,1963.0,2,514,0,76,0,7,2009,159000
367,RL,Pave,Grvl,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,SLvl,Gable,Tar&Grv,Plywood,Plywood,BrkFace,TA,TA,CBlock,Gd,TA,Gd,GLQ,Unf,GasA,Gd,Y,SBrkr,TA,Typ,Gd,Basment,RFn,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,80,101.0,9150,6,5,1962,1962,305.0,371,728,1099,1431,0,1431,0,1,1,0,3,6,1,1962.0,1,296,64,110,0,12,2008,165000
368,RL,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,PConc,TA,TA,No,LwQ,Unf,GasA,Gd,Y,SBrkr,TA,Typ,Gd,Attchd,Fin,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,20,78.0,7800,5,6,1954,1954,200.0,540,728,1268,1268,0,1268,0,0,1,0,2,7,1,1954.0,1,244,0,98,0,3,2010,132000
369,RL,Pave,Grvl,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,TA,Gd,CBlock,TA,TA,No,ALQ,Rec,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Detchd,Fin,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,20,70.04995836802665,9830,5,7,1959,2006,0.0,72,733,1063,1287,0,1287,1,0,1,0,3,7,1,1997.0,2,576,364,17,0,3,2010,162000
370,RL,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,TA,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,TA,Typ,TA,Attchd,RFn,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,60,70.04995836802665,8121,6,5,2000,2000,0.0,0,953,953,953,711,1664,0,0,2,1,3,7,1,2000.0,2,460,100,40,0,1,2006,172400
371,RL,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,ClearCr,Feedr,Norm,1Fam,1.5Fin,Gable,CompShg,WdShing,Plywood,BrkFace,TA,TA,CBlock,TA,TA,No,Unf,Unf,GasA,TA,Y,SBrkr,TA,Min2,Gd,Detchd,Fin,TA,TA,N,Gd,MnPrv,Shed,WD,Normal,50,80.0,17120,4,4,1959,1959,0.0,0,0,0,1120,468,1588,0,0,2,0,4,7,1,1991.0,2,680,0,59,0,7,2008,134432
372,RL,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,TwnhsE,1Story,Gable,CompShg,Plywood,Plywood,BrkFace,TA,TA,CBlock,Gd,TA,No,ALQ,LwQ,GasA,TA,Y,SBrkr,TA,Typ,Gd,Attchd,Unf,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,120,50.0,7175,6,5,1984,1984,0.0,623,0,744,752,0,752,1,0,1,0,2,4,0,1984.0,1,264,353,0,0,2,2010,125000
373,RL,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,BrkFace,TA,TA,PConc,TA,TA,No,BLQ,LwQ,GasA,TA,Y,SBrkr,TA,Min2,Gd,Attchd,Unf,TA,TA,Y,Gd,GdWo,Shed,WD,Normal,20,79.0,10634,5,6,1953,1953,0.0,428,0,608,1319,0,1319,1,0,1,0,3,5,0,1953.0,1,270,66,0,0,11,2009,123000
374,RL,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,BuiltIn,Fin,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,60,65.0,8200,7,5,2003,2004,0.0,0,847,847,847,1081,1928,0,0,2,1,4,8,1,2003.0,2,434,100,48,0,7,2007,219500
375,RL,Pave,Grvl,IR1,Low,AllPub,Inside,Sev,Edwards,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,Fa,Fa,BrkTil,Fa,Po,Gd,BLQ,Unf,GasA,Gd,N,FuseA,Fa,Maj1,Gd,Attchd,Unf,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,30,70.04995836802665,10020,1,1,1922,1950,0.0,350,333,683,904,0,904,1,0,0,1,1,4,0,1978.5061638868744,0,0,0,0,0,3,2009,61000
376,RL,Pave,Grvl,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,SFoyer,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,Gd,Detchd,Unf,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,85,57.0,8846,5,5,1996,1996,0.0,298,572,870,914,0,914,0,0,1,0,2,5,0,1998.0,2,576,0,0,0,7,2006,148000
377,FV,Pave,Grvl,IR1,Lvl,AllPub,Corner,Gtl,Somerst,Norm,Norm,1Fam,2Story,Gable,CompShg,CemntBd,CmentBd,BrkFace,Gd,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,RFn,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,60,102.0,11143,8,5,2004,2005,0.0,0,1580,1580,1580,886,2466,0,0,3,0,4,8,1,2004.0,2,610,159,214,0,12,2007,340000
378,RL,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,StoneBr,Norm,Norm,1Fam,1Story,Hip,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Ex,TA,Av,GLQ,Unf,GasA,Ex,Y,SBrkr,Ex,Typ,Ex,Attchd,Fin,TA,TA,Y,Gd,MnPrv,Shed,New,Partial,20,88.0,11394,9,2,2010,2010,350.0,1445,411,1856,1856,0,1856,1,0,1,1,1,8,1,2010.0,3,834,113,0,0,6,2010,394432
379,RL,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,RRAn,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,TA,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,TA,Typ,TA,Attchd,Fin,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,60,60.0,8123,6,5,2000,2000,16.0,0,982,982,1007,793,1800,0,0,2,1,3,7,1,2000.0,2,463,100,63,0,6,2009,179000
